protocol,fold,model,n_train,n_test,selected_features,correct,accuracy
human_clean_leave_one_sentence_out,s1,voting_rf_lr_svc,84,21,227,19,0.9047619047619048
human_clean_leave_one_sentence_out,s1,random_forest,84,21,227,19,0.9047619047619048
human_clean_leave_one_sentence_out,s1,logistic_regression,84,21,227,17,0.8095238095238095
human_noise_leave_one_sentence_out,s1,voting_rf_lr_svc,84,21,225,18,0.8571428571428571
human_noise_leave_one_sentence_out,s1,random_forest,84,21,225,20,0.9523809523809523
human_noise_leave_one_sentence_out,s1,logistic_regression,84,21,225,18,0.8571428571428571
human_clean_and_noise_leave_one_sentence_out,s1,voting_rf_lr_svc,168,42,227,39,0.9285714285714286
human_clean_and_noise_leave_one_sentence_out,s1,random_forest,168,42,227,38,0.9047619047619048
human_clean_and_noise_leave_one_sentence_out,s1,logistic_regression,168,42,227,37,0.8809523809523809
all_conditions_leave_one_sentence_out,s1,voting_rf_lr_svc,252,63,229,59,0.9365079365079365
all_conditions_leave_one_sentence_out,s1,random_forest,252,63,229,60,0.9523809523809523
all_conditions_leave_one_sentence_out,s1,logistic_regression,252,63,229,56,0.8888888888888888
human_clean_leave_one_sentence_out,s2,voting_rf_lr_svc,84,21,227,18,0.8571428571428571
human_clean_leave_one_sentence_out,s2,random_forest,84,21,227,20,0.9523809523809523
human_clean_leave_one_sentence_out,s2,logistic_regression,84,21,227,17,0.8095238095238095
human_noise_leave_one_sentence_out,s2,voting_rf_lr_svc,84,21,225,19,0.9047619047619048
human_noise_leave_one_sentence_out,s2,random_forest,84,21,225,19,0.9047619047619048
human_noise_leave_one_sentence_out,s2,logistic_regression,84,21,225,19,0.9047619047619048
human_clean_and_noise_leave_one_sentence_out,s2,voting_rf_lr_svc,168,42,227,38,0.9047619047619048
human_clean_and_noise_leave_one_sentence_out,s2,random_forest,168,42,227,40,0.9523809523809523
human_clean_and_noise_leave_one_sentence_out,s2,logistic_regression,168,42,227,38,0.9047619047619048
all_conditions_leave_one_sentence_out,s2,voting_rf_lr_svc,252,63,229,55,0.873015873015873
all_conditions_leave_one_sentence_out,s2,random_forest,252,63,229,62,0.9841269841269841
all_conditions_leave_one_sentence_out,s2,logistic_regression,252,63,229,54,0.8571428571428571
human_clean_leave_one_sentence_out,s3,voting_rf_lr_svc,84,21,225,17,0.8095238095238095
human_clean_leave_one_sentence_out,s3,random_forest,84,21,225,20,0.9523809523809523
human_clean_leave_one_sentence_out,s3,logistic_regression,84,21,225,17,0.8095238095238095
human_noise_leave_one_sentence_out,s3,voting_rf_lr_svc,84,21,225,21,1.0
human_noise_leave_one_sentence_out,s3,random_forest,84,21,225,20,0.9523809523809523
human_noise_leave_one_sentence_out,s3,logistic_regression,84,21,225,21,1.0
human_clean_and_noise_leave_one_sentence_out,s3,voting_rf_lr_svc,168,42,225,39,0.9285714285714286
human_clean_and_noise_leave_one_sentence_out,s3,random_forest,168,42,225,40,0.9523809523809523
human_clean_and_noise_leave_one_sentence_out,s3,logistic_regression,168,42,225,37,0.8809523809523809
all_conditions_leave_one_sentence_out,s3,voting_rf_lr_svc,252,63,226,62,0.9841269841269841
all_conditions_leave_one_sentence_out,s3,random_forest,252,63,226,62,0.9841269841269841
all_conditions_leave_one_sentence_out,s3,logistic_regression,252,63,226,57,0.9047619047619048
human_clean_leave_one_sentence_out,s4,voting_rf_lr_svc,84,21,227,20,0.9523809523809523
human_clean_leave_one_sentence_out,s4,random_forest,84,21,227,21,1.0
human_clean_leave_one_sentence_out,s4,logistic_regression,84,21,227,19,0.9047619047619048
human_noise_leave_one_sentence_out,s4,voting_rf_lr_svc,84,21,225,20,0.9523809523809523
human_noise_leave_one_sentence_out,s4,random_forest,84,21,225,21,1.0
human_noise_leave_one_sentence_out,s4,logistic_regression,84,21,225,20,0.9523809523809523
human_clean_and_noise_leave_one_sentence_out,s4,voting_rf_lr_svc,168,42,227,35,0.8333333333333334
human_clean_and_noise_leave_one_sentence_out,s4,random_forest,168,42,227,38,0.9047619047619048
human_clean_and_noise_leave_one_sentence_out,s4,logistic_regression,168,42,227,35,0.8333333333333334
all_conditions_leave_one_sentence_out,s4,voting_rf_lr_svc,252,63,229,57,0.9047619047619048
all_conditions_leave_one_sentence_out,s4,random_forest,252,63,229,56,0.8888888888888888
all_conditions_leave_one_sentence_out,s4,logistic_regression,252,63,229,56,0.8888888888888888
human_clean_leave_one_sentence_out,s5,voting_rf_lr_svc,84,21,227,18,0.8571428571428571
human_clean_leave_one_sentence_out,s5,random_forest,84,21,227,20,0.9523809523809523
human_clean_leave_one_sentence_out,s5,logistic_regression,84,21,227,17,0.8095238095238095
human_noise_leave_one_sentence_out,s5,voting_rf_lr_svc,84,21,225,21,1.0
human_noise_leave_one_sentence_out,s5,random_forest,84,21,225,21,1.0
human_noise_leave_one_sentence_out,s5,logistic_regression,84,21,225,21,1.0
human_clean_and_noise_leave_one_sentence_out,s5,voting_rf_lr_svc,168,42,227,40,0.9523809523809523
human_clean_and_noise_leave_one_sentence_out,s5,random_forest,168,42,227,39,0.9285714285714286
human_clean_and_noise_leave_one_sentence_out,s5,logistic_regression,168,42,227,38,0.9047619047619048
all_conditions_leave_one_sentence_out,s5,voting_rf_lr_svc,252,63,229,56,0.8888888888888888
all_conditions_leave_one_sentence_out,s5,random_forest,252,63,229,60,0.9523809523809523
all_conditions_leave_one_sentence_out,s5,logistic_regression,252,63,229,56,0.8888888888888888
train_human_clean_test_human_noise,all,voting_rf_lr_svc,105,105,227,68,0.6476190476190476
train_human_clean_test_human_noise,all,random_forest,105,105,227,87,0.8285714285714286
train_human_clean_test_human_noise,all,logistic_regression,105,105,227,65,0.6190476190476191
train_tts_and_human_clean_test_human_noise,all,voting_rf_lr_svc,210,105,229,74,0.7047619047619048
train_tts_and_human_clean_test_human_noise,all,random_forest,210,105,229,83,0.7904761904761904
train_tts_and_human_clean_test_human_noise,all,logistic_regression,210,105,229,73,0.6952380952380952
train_human_clean_and_noise_test_tts,all,voting_rf_lr_svc,210,105,227,82,0.780952380952381
train_human_clean_and_noise_test_tts,all,random_forest,210,105,227,87,0.8285714285714286
train_human_clean_and_noise_test_tts,all,logistic_regression,210,105,227,80,0.7619047619047619
